letter,count,normalized_frequency
e,445000000000,1
t,331000000000,0.792989597382536
a,287000000000,0.68645792819928
o,272000000000,0.650140313704988
i,270000000000,0.645297965105749
n,258000000000,0.616243873510316
s,232000000000,0.55329334172021
r,224000000000,0.533923947323254
h,180000000000,0.427392278139998
l,145000000000,0.342651177653317
d,136000000000,0.320860608956742
c,119000000000,0.279700645863211
u,97273082907,0.227095992587677
m,89506734085,0.20829230841797
f,85635440629,0.198919232196018
p,76112599849,0.175862774840114
g,66615316232,0.152868195830437
w,59712390260,0.136155008874855
y,59331661972,0.135233199328811
b,52905544693,0.119674449326555
v,37532682260,0.0824540698921904
k,19261229433,0.0382156978907487
x,8369138754,0.0118440478696292
j,5657910830,0.0052796924996298
q,4292916949,0.00197480439581477
z,3205398166,0
