letter,frequency
e,1.0
t,0.7929895973825363
a,0.68645792819928
o,0.6501403137049881
i,0.6452979651057492
n,0.6162438735103157
s,0.5532933417202097
r,0.5339239473232541
h,0.42739227813999786
l,0.3426511776533168
d,0.3208606089567417
c,0.27970064586321086
u,0.22709599258767652
m,0.20829230841797025
f,0.19891923219601806
p,0.17586277484011392
g,0.1528681958304366
w,0.13615500887485452
y,0.1352331993288108
b,0.11967444932655547
v,0.0824540698921904
k,0.03821569789074868
x,0.011844047869629218
j,0.005279692499629797
q,0.001974804395814774
z,0.0
