key_pair,dvorak9_same_row
'',1.0
"',",0.0
'.,0.0
'/,0.0
';,1.0
'A,1.0
'B,0.0
'C,0.0
'D,1.0
'E,0.0
'F,1.0
'G,1.0
'H,1.0
'I,0.0
'J,1.0
'K,1.0
'L,1.0
'M,0.0
'N,0.0
'O,0.0
'P,0.0
'Q,0.0
'R,0.0
'S,1.0
'T,0.0
'U,0.0
'V,0.0
'W,0.0
'X,0.0
'Y,0.0
'Z,0.0
'[,0.0
",'",0.0
",,",1.0
",.",1.0
",/",1.0
",;",0.0
",A",0.0
",B",1.0
",C",1.0
",D",0.0
",E",0.0
",F",0.0
",G",0.0
",H",0.0
",I",0.0
",J",0.0
",K",0.0
",L",0.0
",M",1.0
",N",1.0
",O",0.0
",P",0.0
",Q",0.0
",R",0.0
",S",0.0
",T",0.0
",U",0.0
",V",1.0
",W",0.0
",X",1.0
",Y",0.0
",Z",1.0
",[",0.0
.',0.0
".,",1.0
..,1.0
./,1.0
.;,0.0
.A,0.0
.B,1.0
.C,1.0
.D,0.0
.E,0.0
.F,0.0
.G,0.0
.H,0.0
.I,0.0
.J,0.0
.K,0.0
.L,0.0
.M,1.0
.N,1.0
.O,0.0
.P,0.0
.Q,0.0
.R,0.0
.S,0.0
.T,0.0
.U,0.0
.V,1.0
.W,0.0
.X,1.0
.Y,0.0
.Z,1.0
.[,0.0
/',0.0
"/,",1.0
/.,1.0
//,1.0
/;,0.0
/A,0.0
/B,1.0
/C,1.0
/D,0.0
/E,0.0
/F,0.0
/G,0.0
/H,0.0
/I,0.0
/J,0.0
/K,0.0
/L,0.0
/M,1.0
/N,1.0
/O,0.0
/P,0.0
/Q,0.0
/R,0.0
/S,0.0
/T,0.0
/U,0.0
/V,1.0
/W,0.0
/X,1.0
/Y,0.0
/Z,1.0
/[,0.0
;',1.0
";,",0.0
;.,0.0
;/,0.0
;;,1.0
;A,1.0
;B,0.0
;C,0.0
;D,1.0
;E,0.0
;F,1.0
;G,1.0
;H,1.0
;I,0.0
;J,1.0
;K,1.0
;L,1.0
;M,0.0
;N,0.0
;O,0.0
;P,0.0
;Q,0.0
;R,0.0
;S,1.0
;T,0.0
;U,0.0
;V,0.0
;W,0.0
;X,0.0
;Y,0.0
;Z,0.0
;[,0.0
A',1.0
"A,",0.0
A.,0.0
A/,0.0
A;,1.0
AA,1.0
AB,0.0
AC,0.0
AD,1.0
AE,0.0
AF,1.0
AG,1.0
AH,1.0
AI,0.0
AJ,1.0
AK,1.0
AL,1.0
AM,0.0
AN,0.0
AO,0.0
AP,0.0
AQ,0.0
AR,0.0
AS,1.0
AT,0.0
AU,0.0
AV,0.0
AW,0.0
AX,0.0
AY,0.0
AZ,0.0
A[,0.0
B',0.0
"B,",1.0
B.,1.0
B/,1.0
B;,0.0
BA,0.0
BB,1.0
BC,1.0
BD,0.0
BE,0.0
BF,0.0
BG,0.0
BH,0.0
BI,0.0
BJ,0.0
BK,0.0
BL,0.0
BM,1.0
BN,1.0
BO,0.0
BP,0.0
BQ,0.0
BR,0.0
BS,0.0
BT,0.0
BU,0.0
BV,1.0
BW,0.0
BX,1.0
BY,0.0
BZ,1.0
B[,0.0
C',0.0
"C,",1.0
C.,1.0
C/,1.0
C;,0.0
CA,0.0
CB,1.0
CC,1.0
CD,0.0
CE,0.0
CF,0.0
CG,0.0
CH,0.0
CI,0.0
CJ,0.0
CK,0.0
CL,0.0
CM,1.0
CN,1.0
CO,0.0
CP,0.0
CQ,0.0
CR,0.0
CS,0.0
CT,0.0
CU,0.0
CV,1.0
CW,0.0
CX,1.0
CY,0.0
CZ,1.0
C[,0.0
D',1.0
"D,",0.0
D.,0.0
D/,0.0
D;,1.0
DA,1.0
DB,0.0
DC,0.0
DD,1.0
DE,0.0
DF,1.0
DG,1.0
DH,1.0
DI,0.0
DJ,1.0
DK,1.0
DL,1.0
DM,0.0
DN,0.0
DO,0.0
DP,0.0
DQ,0.0
DR,0.0
DS,1.0
DT,0.0
DU,0.0
DV,0.0
DW,0.0
DX,0.0
DY,0.0
DZ,0.0
D[,0.0
E',0.0
"E,",0.0
E.,0.0
E/,0.0
E;,0.0
EA,0.0
EB,0.0
EC,0.0
ED,0.0
EE,1.0
EF,0.0
EG,0.0
EH,0.0
EI,1.0
EJ,0.0
EK,0.0
EL,0.0
EM,0.0
EN,0.0
EO,1.0
EP,1.0
EQ,1.0
ER,1.0
ES,0.0
ET,1.0
EU,1.0
EV,0.0
EW,1.0
EX,0.0
EY,1.0
EZ,0.0
E[,1.0
F',1.0
"F,",0.0
F.,0.0
F/,0.0
F;,1.0
FA,1.0
FB,0.0
FC,0.0
FD,1.0
FE,0.0
FF,1.0
FG,1.0
FH,1.0
FI,0.0
FJ,1.0
FK,1.0
FL,1.0
FM,0.0
FN,0.0
FO,0.0
FP,0.0
FQ,0.0
FR,0.0
FS,1.0
FT,0.0
FU,0.0
FV,0.0
FW,0.0
FX,0.0
FY,0.0
FZ,0.0
F[,0.0
G',1.0
"G,",0.0
G.,0.0
G/,0.0
G;,1.0
GA,1.0
GB,0.0
GC,0.0
GD,1.0
GE,0.0
GF,1.0
GG,1.0
GH,1.0
GI,0.0
GJ,1.0
GK,1.0
GL,1.0
GM,0.0
GN,0.0
GO,0.0
GP,0.0
GQ,0.0
GR,0.0
GS,1.0
GT,0.0
GU,0.0
GV,0.0
GW,0.0
GX,0.0
GY,0.0
GZ,0.0
G[,0.0
H',1.0
"H,",0.0
H.,0.0
H/,0.0
H;,1.0
HA,1.0
HB,0.0
HC,0.0
HD,1.0
HE,0.0
HF,1.0
HG,1.0
HH,1.0
HI,0.0
HJ,1.0
HK,1.0
HL,1.0
HM,0.0
HN,0.0
HO,0.0
HP,0.0
HQ,0.0
HR,0.0
HS,1.0
HT,0.0
HU,0.0
HV,0.0
HW,0.0
HX,0.0
HY,0.0
HZ,0.0
H[,0.0
I',0.0
"I,",0.0
I.,0.0
I/,0.0
I;,0.0
IA,0.0
IB,0.0
IC,0.0
ID,0.0
IE,1.0
IF,0.0
IG,0.0
IH,0.0
II,1.0
IJ,0.0
IK,0.0
IL,0.0
IM,0.0
IN,0.0
IO,1.0
IP,1.0
IQ,1.0
IR,1.0
IS,0.0
IT,1.0
IU,1.0
IV,0.0
IW,1.0
IX,0.0
IY,1.0
IZ,0.0
I[,1.0
J',1.0
"J,",0.0
J.,0.0
J/,0.0
J;,1.0
JA,1.0
JB,0.0
JC,0.0
JD,1.0
JE,0.0
JF,1.0
JG,1.0
JH,1.0
JI,0.0
JJ,1.0
JK,1.0
JL,1.0
JM,0.0
JN,0.0
JO,0.0
JP,0.0
JQ,0.0
JR,0.0
JS,1.0
JT,0.0
JU,0.0
JV,0.0
JW,0.0
JX,0.0
JY,0.0
JZ,0.0
J[,0.0
K',1.0
"K,",0.0
K.,0.0
K/,0.0
K;,1.0
KA,1.0
KB,0.0
KC,0.0
KD,1.0
KE,0.0
KF,1.0
KG,1.0
KH,1.0
KI,0.0
KJ,1.0
KK,1.0
KL,1.0
KM,0.0
KN,0.0
KO,0.0
KP,0.0
KQ,0.0
KR,0.0
KS,1.0
KT,0.0
KU,0.0
KV,0.0
KW,0.0
KX,0.0
KY,0.0
KZ,0.0
K[,0.0
L',1.0
"L,",0.0
L.,0.0
L/,0.0
L;,1.0
LA,1.0
LB,0.0
LC,0.0
LD,1.0
LE,0.0
LF,1.0
LG,1.0
LH,1.0
LI,0.0
LJ,1.0
LK,1.0
LL,1.0
LM,0.0
LN,0.0
LO,0.0
LP,0.0
LQ,0.0
LR,0.0
LS,1.0
LT,0.0
LU,0.0
LV,0.0
LW,0.0
LX,0.0
LY,0.0
LZ,0.0
L[,0.0
M',0.0
"M,",1.0
M.,1.0
M/,1.0
M;,0.0
MA,0.0
MB,1.0
MC,1.0
MD,0.0
ME,0.0
MF,0.0
MG,0.0
MH,0.0
MI,0.0
MJ,0.0
MK,0.0
ML,0.0
MM,1.0
MN,1.0
MO,0.0
MP,0.0
MQ,0.0
MR,0.0
MS,0.0
MT,0.0
MU,0.0
MV,1.0
MW,0.0
MX,1.0
MY,0.0
MZ,1.0
M[,0.0
N',0.0
"N,",1.0
N.,1.0
N/,1.0
N;,0.0
NA,0.0
NB,1.0
NC,1.0
ND,0.0
NE,0.0
NF,0.0
NG,0.0
NH,0.0
NI,0.0
NJ,0.0
NK,0.0
NL,0.0
NM,1.0
NN,1.0
NO,0.0
NP,0.0
NQ,0.0
NR,0.0
NS,0.0
NT,0.0
NU,0.0
NV,1.0
NW,0.0
NX,1.0
NY,0.0
NZ,1.0
N[,0.0
O',0.0
"O,",0.0
O.,0.0
O/,0.0
O;,0.0
OA,0.0
OB,0.0
OC,0.0
OD,0.0
OE,1.0
OF,0.0
OG,0.0
OH,0.0
OI,1.0
OJ,0.0
OK,0.0
OL,0.0
OM,0.0
ON,0.0
OO,1.0
OP,1.0
OQ,1.0
OR,1.0
OS,0.0
OT,1.0
OU,1.0
OV,0.0
OW,1.0
OX,0.0
OY,1.0
OZ,0.0
O[,1.0
P',0.0
"P,",0.0
P.,0.0
P/,0.0
P;,0.0
PA,0.0
PB,0.0
PC,0.0
PD,0.0
PE,1.0
PF,0.0
PG,0.0
PH,0.0
PI,1.0
PJ,0.0
PK,0.0
PL,0.0
PM,0.0
PN,0.0
PO,1.0
PP,1.0
PQ,1.0
PR,1.0
PS,0.0
PT,1.0
PU,1.0
PV,0.0
PW,1.0
PX,0.0
PY,1.0
PZ,0.0
P[,1.0
Q',0.0
"Q,",0.0
Q.,0.0
Q/,0.0
Q;,0.0
QA,0.0
QB,0.0
QC,0.0
QD,0.0
QE,1.0
QF,0.0
QG,0.0
QH,0.0
QI,1.0
QJ,0.0
QK,0.0
QL,0.0
QM,0.0
QN,0.0
QO,1.0
QP,1.0
QQ,1.0
QR,1.0
QS,0.0
QT,1.0
QU,1.0
QV,0.0
QW,1.0
QX,0.0
QY,1.0
QZ,0.0
Q[,1.0
R',0.0
"R,",0.0
R.,0.0
R/,0.0
R;,0.0
RA,0.0
RB,0.0
RC,0.0
RD,0.0
RE,1.0
RF,0.0
RG,0.0
RH,0.0
RI,1.0
RJ,0.0
RK,0.0
RL,0.0
RM,0.0
RN,0.0
RO,1.0
RP,1.0
RQ,1.0
RR,1.0
RS,0.0
RT,1.0
RU,1.0
RV,0.0
RW,1.0
RX,0.0
RY,1.0
RZ,0.0
R[,1.0
S',1.0
"S,",0.0
S.,0.0
S/,0.0
S;,1.0
SA,1.0
SB,0.0
SC,0.0
SD,1.0
SE,0.0
SF,1.0
SG,1.0
SH,1.0
SI,0.0
SJ,1.0
SK,1.0
SL,1.0
SM,0.0
SN,0.0
SO,0.0
SP,0.0
SQ,0.0
SR,0.0
SS,1.0
ST,0.0
SU,0.0
SV,0.0
SW,0.0
SX,0.0
SY,0.0
SZ,0.0
S[,0.0
T',0.0
"T,",0.0
T.,0.0
T/,0.0
T;,0.0
TA,0.0
TB,0.0
TC,0.0
TD,0.0
TE,1.0
TF,0.0
TG,0.0
TH,0.0
TI,1.0
TJ,0.0
TK,0.0
TL,0.0
TM,0.0
TN,0.0
TO,1.0
TP,1.0
TQ,1.0
TR,1.0
TS,0.0
TT,1.0
TU,1.0
TV,0.0
TW,1.0
TX,0.0
TY,1.0
TZ,0.0
T[,1.0
U',0.0
"U,",0.0
U.,0.0
U/,0.0
U;,0.0
UA,0.0
UB,0.0
UC,0.0
UD,0.0
UE,1.0
UF,0.0
UG,0.0
UH,0.0
UI,1.0
UJ,0.0
UK,0.0
UL,0.0
UM,0.0
UN,0.0
UO,1.0
UP,1.0
UQ,1.0
UR,1.0
US,0.0
UT,1.0
UU,1.0
UV,0.0
UW,1.0
UX,0.0
UY,1.0
UZ,0.0
U[,1.0
V',0.0
"V,",1.0
V.,1.0
V/,1.0
V;,0.0
VA,0.0
VB,1.0
VC,1.0
VD,0.0
VE,0.0
VF,0.0
VG,0.0
VH,0.0
VI,0.0
VJ,0.0
VK,0.0
VL,0.0
VM,1.0
VN,1.0
VO,0.0
VP,0.0
VQ,0.0
VR,0.0
VS,0.0
VT,0.0
VU,0.0
VV,1.0
VW,0.0
VX,1.0
VY,0.0
VZ,1.0
V[,0.0
W',0.0
"W,",0.0
W.,0.0
W/,0.0
W;,0.0
WA,0.0
WB,0.0
WC,0.0
WD,0.0
WE,1.0
WF,0.0
WG,0.0
WH,0.0
WI,1.0
WJ,0.0
WK,0.0
WL,0.0
WM,0.0
WN,0.0
WO,1.0
WP,1.0
WQ,1.0
WR,1.0
WS,0.0
WT,1.0
WU,1.0
WV,0.0
WW,1.0
WX,0.0
WY,1.0
WZ,0.0
W[,1.0
X',0.0
"X,",1.0
X.,1.0
X/,1.0
X;,0.0
XA,0.0
XB,1.0
XC,1.0
XD,0.0
XE,0.0
XF,0.0
XG,0.0
XH,0.0
XI,0.0
XJ,0.0
XK,0.0
XL,0.0
XM,1.0
XN,1.0
XO,0.0
XP,0.0
XQ,0.0
XR,0.0
XS,0.0
XT,0.0
XU,0.0
XV,1.0
XW,0.0
XX,1.0
XY,0.0
XZ,1.0
X[,0.0
Y',0.0
"Y,",0.0
Y.,0.0
Y/,0.0
Y;,0.0
YA,0.0
YB,0.0
YC,0.0
YD,0.0
YE,1.0
YF,0.0
YG,0.0
YH,0.0
YI,1.0
YJ,0.0
YK,0.0
YL,0.0
YM,0.0
YN,0.0
YO,1.0
YP,1.0
YQ,1.0
YR,1.0
YS,0.0
YT,1.0
YU,1.0
YV,0.0
YW,1.0
YX,0.0
YY,1.0
YZ,0.0
Y[,1.0
Z',0.0
"Z,",1.0
Z.,1.0
Z/,1.0
Z;,0.0
ZA,0.0
ZB,1.0
ZC,1.0
ZD,0.0
ZE,0.0
ZF,0.0
ZG,0.0
ZH,0.0
ZI,0.0
ZJ,0.0
ZK,0.0
ZL,0.0
ZM,1.0
ZN,1.0
ZO,0.0
ZP,0.0
ZQ,0.0
ZR,0.0
ZS,0.0
ZT,0.0
ZU,0.0
ZV,1.0
ZW,0.0
ZX,1.0
ZY,0.0
ZZ,1.0
Z[,0.0
[',0.0
"[,",0.0
[.,0.0
[/,0.0
[;,0.0
[A,0.0
[B,0.0
[C,0.0
[D,0.0
[E,1.0
[F,0.0
[G,0.0
[H,0.0
[I,1.0
[J,0.0
[K,0.0
[L,0.0
[M,0.0
[N,0.0
[O,1.0
[P,1.0
[Q,1.0
[R,1.0
[S,0.0
[T,1.0
[U,1.0
[V,0.0
[W,1.0
[X,0.0
[Y,1.0
[Z,0.0
[[,1.0
